Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
LAKEHAVASUCITY_NG,28879,GAS,655.0,196.5,0.0
MOHAVEVALLEY_NG,28879,GAS,708.0,212.4,0.0
YUMA_NG,28879,GAS,425.0,127.5,0.0
BIGBEARCITY_NG,28879,GAS,8.4,2.52,0.0
BLYTHE_NG,28879,GAS,591.0,177.29999999999998,0.0
NORTHPALMSPRINGS_NG,28879,GAS,149.7,44.91,0.0
SUNCITY_NG,28879,GAS,819.0,245.7,0.0
TWENTYNINEPALMS_NG,28879,GAS,16.4,4.919999999999999,0.0
CALIPATRIA_NG,28879,GAS,121.0,36.3,0.0
DESERTHOTSPRINGS_NG,28879,GAS,800.0,240.0,0.0
GLENDALE_NG,40168,GAS,613.5,184.05,0.0
COCHISE_NG,40518,GAS,660.7,198.21,0.0
TUCSON_NG,40518,GAS,954.3,286.29,0.0
NOGALES_NG,40518,GAS,108.0,32.4,0.0
LORDSBURG_NG,40518,GAS,88.0,26.4,0.0
DEMING_NG,40518,GAS,650.0,195.0,0.0
SUNLANDPARK_NG,40518,GAS,398.3,119.49,0.0
CHANDLER_NG,40310,GAS,17.1,5.13,0.0
ARLINGTON_NG,40840,GAS,3236.5,970.95,0.0
CHANDLER_NG_2,40840,GAS,726.0,217.8,0.0
CASAGRANDE_NG,40840,GAS,646.1,193.83,0.0
TEMPE_NG,40840,GAS,573.7,172.11,0.0
TONOPAH_NG,40840,GAS,1325.1,397.53,0.0
PHOENIX_Nuc,40840,NUCLEAR,4209.6,1262.88,0.0
GILBERT_NG,40840,GAS,1326.0,397.8,0.0
GOLDENVALLEY_NG,40008,GAS,121.0,36.3,0.0
GLOBE_NG,40872,GAS,1678.0,503.4,0.0
CHANDLER_NG_3,40872,GAS,695.0,208.5,0.0
BUCKEYE_NG,40884,GAS,652.2,195.66,0.0
GILABEND_NG,40884,GAS,3376.0,1012.8,0.0
SAINTJOHNS_C,40875,COAL,821.8,246.54,0.0
SPRINGERVILLE_C,40875,COAL,2179.2,653.7599999999999,0.0
TRONA_C,30369,COAL,62.5,18.75,0.0
VICTORVILLE_NG,30369,GAS,852.0,255.6,0.0
BORON_NG,30369,GAS,220.8,66.24,0.0
HINKLEY_NG,30369,GAS,184.0,55.2,0.0
TRONA_NG,30369,GAS,20.0,6.0,0.0
LASVEGAS_NG,30369,GAS,3475.9,1042.7699999999998,0.0
JEAN_NG,30369,GAS,688.4,206.52,0.0
YUMA_NG_4,40004,GAS,62.6,18.78,0.0
ORACLE_NG,40519,GAS,3.1,0.93,0.0
LONGBEACH_NG,25824,GAS,777.4,233.22,0.0
REDONDOBEACH_NG,25824,GAS,1316.4,394.92,0.0
CAMARILLO_NG,25824,GAS,31.1,9.33,0.0
OXNARD_NG,25824,GAS,1821.2,546.36,0.0
GOLETA_NG,25824,GAS,58.0,17.4,0.0
CARSON_NG,25824,GAS,499.2,149.76,0.0
BAKERSFIELD_NG,23230,GAS,95.8,28.74,0.0
COALINGA_NG,23230,GAS,13.6,4.08,0.0
HURON_NG,23230,GAS,45.2,13.56,0.0
DELANO_NG,23230,GAS,48.5,14.55,0.0
HANFORD_NG,23230,GAS,92.2,27.66,0.0
LEMOORE_NG,23230,GAS,98.0,29.4,0.0
SELMA_NG,23230,GAS,36.2,10.86,0.0
MODESTO_NG,23060,GAS,422.5,126.75,0.0
RIPON_NG,23060,GAS,170.5,51.15,0.0
STOCKTON_NG,23060,GAS,4.8,1.44,0.0
TURLOCK_NG,23060,GAS,49.8,14.939999999999998,0.0
SHINGLESPRINGS_NG,20136,GAS,5.0,1.5,0.0
YUBACITY_NG,20136,GAS,143.3,42.99,0.0
MCCLELLAN_NG,20136,GAS,77.0,23.1,0.0
ROSEVILLE_NG,20136,GAS,165.0,49.5,0.0
ROCKLIN_NG,20136,GAS,66.0,19.8,0.0
SACRAMENTO_NG,20136,GAS,173.9,52.17,0.0
CARSON_NG_5,25598,GAS,55.8,16.74,0.0
LOSANGELES_NG,25598,GAS,132.8,39.84,0.0
HUNTINGTONPARK_NG,25598,GAS,6.7,2.01,0.0
CHOWCHILLA_NG,25867,GAS,49.6,14.88,0.0
FRESNO_NG,25867,GAS,121.0,36.3,0.0
LEBEC_NG,25867,GAS,779.0,233.7,0.0
TEHACHAPI_NG,25867,GAS,6.6,1.98,0.0
VALMY_C,25867,COAL,567.0,170.1,0.0
SANARDO_NG,26130,GAS,83.30000000000001,24.99,0.0
BAKERSFIELD_NG_6,26130,GAS,880.7,264.21,0.0
TAFT_NG,26130,GAS,114.70000000000002,34.410000000000004,0.0
MCKITTRICK_NG,26130,GAS,1302.6,390.78,0.0
AVILABEACH_Nuc,26130,NUCLEAR,2323.0,696.9,0.0
FELLOWS_NG,26130,GAS,983.7,295.11,0.0
TUPMAN_NG,26130,GAS,669.6,200.88,0.0
GOLETA_NG_7,26130,GAS,63.3,18.99,0.0
SHAFTER_NG,26130,GAS,7.1,2.13,0.0
SANTAMARGARITA_NG,26130,GAS,1.1,0.33,0.0
GROVERBEACH_NG,26130,GAS,1.4,0.42,0.0
SANJOSE_NG,23375,GAS,26.90000000000001,8.070000000000002,0.0
FIREBAUGH_NG,23375,GAS,110.4,33.12,0.0
GILROY_NG,23375,GAS,265.0,79.5,0.0
COALINGA_NG_8,23375,GAS,6.8,2.04,0.0
SANTACLARA_NG,23375,GAS,6.300000000000001,1.89,0.0
COYOTE_NG,23375,GAS,637.2,191.16,0.0
SANJOAQUIN_NG,23375,GAS,619.8,185.94,0.0
KINGCITY_NG,23375,GAS,180.5,54.15,0.0
MOSSLANDING_NG,23375,GAS,3102.0,930.6,0.0
EARLIMART_NG,23375,GAS,1.0,0.3,0.0
TURLOCK_NG_9,23375,GAS,300.6,90.18,0.0
SUNNYVALE_NG,23375,GAS,1.1,0.33,0.0
VANNUYS_NG,25289,GAS,1.0,0.3,0.0
NEWHALL_NG,25289,GAS,42.8,12.839999999999998,0.0
NORWALK_NG,25289,GAS,59.8,17.939999999999998,0.0
PASADENA_NG,25289,GAS,265.6,79.68,0.0
LOSANGELES_NG_10,25289,GAS,11.8,3.54,0.0
BURBANK_NG,25289,GAS,387.6,116.28,0.0
ONTARIO_NG,25289,GAS,30.8,9.24,0.0
LAPUENTE_NG,25289,GAS,500.0,150.0,0.0
IRVINE_NG,28099,GAS,1.0,0.3,0.0
GARDENGROVE_NG,28099,GAS,6.1,1.83,0.0
STANTON_NG,28099,GAS,49.8,14.939999999999998,0.0
ANAHEIM_NG,28099,GAS,201.4,60.42,0.0
COLTON_NG,28099,GAS,44.8,13.44,0.0
CORONA_NG,28099,GAS,49.0,14.7,0.0
ENCINITAS_NG,28099,GAS,1.1,0.33,0.0
LAGUNAHILLS_NG,28099,GAS,48.2,14.46,0.0
ONTARIO_NG_11,28099,GAS,49.8,14.939999999999998,0.0
RIVERSIDE_NG,28099,GAS,40.0,12.0,0.0
TUSTIN_NG,28099,GAS,19.0,5.7,0.0
SANMARCOS_NG,28099,GAS,2.0,0.6,0.0
HUNTINGTONBEACH_NG,28078,GAS,699.2,209.76,0.0
SANTAANA_NG,28078,GAS,4.5,1.35,0.0
SANJOSE_NG_12,21607,GAS,351.00000000000006,105.3,0.0
SUNNYVALE_NG_13,21607,GAS,5.1,1.5299999999999998,0.0
FREMONT_NG,21607,GAS,1.3,0.39,0.0
ELKGROVE_NG,21607,GAS,125.5,37.65,0.0
MOUNTAINVIEW_NG,21607,GAS,5.5,1.65,0.0
MAXWELL_NG,21607,GAS,712.4,213.72,0.0
TRACY_NG,21607,GAS,338.70000000000005,101.61,0.0
SUISUNCITY_NG,21607,GAS,141.0,42.3,0.0
SANLORENZO_NG,21607,GAS,1.4,0.42,0.0
PITTSBURG_NG,21607,GAS,1621.8,486.54,0.0
SANTACLARA_NG_14,21607,GAS,225.8,67.74,0.0
CUPERTINO_NG,21607,GAS,5.9,1.77,0.0
MARTINEZ_NG,21607,GAS,113.5,34.05,0.0
BELMONT_NG,21607,GAS,1.1,0.33,0.0
ANTIOCH_NG,21607,GAS,1496.1,448.83,0.0
PLEASANTON_NG,21607,GAS,2.4,0.72,0.0
SANLEANDRO_NG,21607,GAS,2.0,0.6,0.0
UNIONCITY_NG,21607,GAS,1.1,0.33,0.0
ACAMPO_NG,21607,GAS,27.4,8.219999999999999,0.0
LODI_NG,21607,GAS,288.9,86.66999999999999,0.0
BYRON_NG,21607,GAS,1521.6,456.48,0.0
RICHMOND_NG,21607,GAS,28.5,8.549999999999999,0.0
HAYWARD_NG,21607,GAS,655.0,196.5,0.0
MILLBRAE_NG,21607,GAS,48.0,14.4,0.0
SACRAMENTO_NG_15,21607,GAS,193.4,58.02,0.0
SANFRANCISCO_NG,21607,GAS,1.6,0.48,0.0
STANFORD_NG,21607,GAS,6.0,1.7999999999999998,0.0
COLTON_NG_16,28302,GAS,105.3,31.59,0.0
REDLANDS_NG,28302,GAS,3.5,1.05,0.0
RANCHOCUCAMONGA_NG,28302,GAS,59.8,17.939999999999998,0.0
ONTARIO_NG_17,28302,GAS,67.0,20.1,0.0
RIVERSIDE_NG_18,28302,GAS,196.0,58.8,0.0
VACAVILLE_NG,20484,GAS,62.5,18.75,0.0
NAPA_NG,20484,GAS,1.1,0.33,0.0
AMERICANCANYON_NG,20484,GAS,4.8,1.44,0.0
ELSOBRANTE_NG,20484,GAS,198.6,59.58,0.0
FAIRFIELD_NG,20484,GAS,49.8,14.939999999999998,0.0
SANTAROSA_NG,20484,GAS,1.4,0.42,0.0
ALAMEDA_NG,21140,GAS,54.8,16.439999999999998,0.0
DALYCITY_NG,21140,GAS,1.5,0.4499999999999999,0.0
OAKLAND_NG,21140,GAS,1.1,0.33,0.0
FULLERTON_NG,25730,GAS,1.3,0.39,0.0
ARTESIA_NG,25730,GAS,5.5,1.65,0.0
ANAHEIM_NG_19,25730,GAS,31.7,9.51,0.0
JANESVILLE_NG,30001,GAS,6.0,1.7999999999999998,0.0
YERINGTON_NG,30001,GAS,230.0,69.0,0.0
SPARKS_NG,30001,GAS,118.6,35.58,0.0
YUBACITY_NG_20,13695,GAS,685.5,205.65,0.0
OROVILLE_NG,13695,GAS,7.7,2.31,0.0
REDBLUFF_NG,13695,GAS,46.4,13.92,0.0
REDDING_NG,13695,GAS,183.1,54.93,0.0
BOARDMAN_C,13695,COAL,642.2,192.66,0.0
BOARDMAN_NG,13695,GAS,500.0,150.0,0.0
KLAMATHFALLS_NG,13695,GAS,619.1,185.73,0.0
EUGENE_NG,13695,GAS,11.0,3.3,0.0
SALINAS_NG,23017,GAS,4.1,1.2299999999999998,0.0
VANNUYS_NG_21,25160,GAS,1.0,0.3,0.0
LOSANGELES_NG_22,25160,GAS,44.0,13.2,0.0
NEWHALL_NG_23,25160,GAS,5.6,1.68,0.0
VENICE_NG,25160,GAS,1.2,0.36,0.0
LODI_NG_24,23054,GAS,50.0,15.0,0.0
CONCORD_NG,21165,GAS,3.5,1.05,0.0
CROCKETT_NG,21165,GAS,247.4,74.22,0.0
MARTINEZ_NG_25,21165,GAS,100.0,30.0,0.0
BENICIA_NG,21165,GAS,51.0,15.3,0.0
CARLSBAD_NG,29016,GAS,764.5,229.35,0.0
SANDIEGO_NG,29016,GAS,1352.7999999999995,405.8399999999999,0.0
ESCONDIDO_NG,29016,GAS,669.3,200.79,0.0
CHULAVISTA_NG,29016,GAS,44.0,13.2,0.0
COACHELLA_NG,29016,GAS,92.4,27.72,0.0
ELCAJON_NG,29016,GAS,98.6,29.58,0.0
CORONADO_NG,29016,GAS,1.6,0.48,0.0
PALA_NG,29016,GAS,118.0,35.4,0.0
IMPERIAL_NG,29016,GAS,58.7,17.61,0.0
RIALTO_NG,28401,GAS,1.4,0.42,0.0
FONTANA_NG,28401,GAS,1.1,0.33,0.0
SANDIEGO_NG_26,28474,GAS,51.400000000000006,15.420000000000002,0.0
RANCHOSANTAFE_NG,28474,GAS,35.5,10.65,0.0
MONTEREYPARK_NG,25618,GAS,1.0,0.3,0.0
BURBANK_NG_27,25400,GAS,62.9,18.87,0.0
LOSANGELES_NG_28,25400,GAS,34.5,10.35,0.0
SANTAMONICA_NG,26213,GAS,9.2,2.76,0.0
PLAYADELREY_NG,26213,GAS,1718.8,515.64,0.0
WILMINGTON_NG,25375,GAS,140.9,42.27,0.0
TORRANCE_NG,25375,GAS,1.6,0.48,0.0
VENICE_NG_29,25385,GAS,3.5,1.05,0.0
SANPEDRO_NG,25385,GAS,1.1,0.33,0.0
OCEANSIDE_NG,28365,GAS,2.5,0.75,0.0
LAPUENTE_NG_30,25714,GAS,13.9,4.17,0.0
ONTARIO_NG_31,25714,GAS,2.7,0.81,0.0
SANDIEGO_NG_32,28549,GAS,3.5,1.05,0.0
LASVEGAS_NG_33,30207,GAS,222.0,66.6,0.0
SANFRANCISCO_NG_34,21121,GAS,167.4,50.22,0.0
SOUTHGATE_NG,25403,GAS,1.0,0.3,0.0
DENVER_NG,60514,GAS,194.0,58.2,0.0
AURORA_NG,60514,GAS,397.8,119.34,0.0
BRUSH_NG,60514,GAS,300.0,90.0,0.0
BRUSH_C,60514,COAL,552.3,165.68999999999997,0.0
FORTMORGAN_C,60514,COAL,3.0,0.8999999999999999,0.0
ALAMOSA_NG,60658,GAS,53.2,15.96,0.0
PUEBLO_C,60658,COAL,1635.3,490.59,0.0
FOUNTAIN_NG,60658,GAS,782.3,234.69,0.0
COLORADOSPRINGS_NG,60658,GAS,61.1,18.33,0.0
HAYDEN_C,60658,COAL,465.4,139.61999999999998,0.0
LIMON_NG,60658,GAS,154.2,46.26,0.0
COLORADOSPRINGS_C,60658,COAL,257.3,77.19,0.0
PUEBLO_NG,60658,GAS,540.0,162.0,0.0
FOUNTAIN_C,60658,COAL,282.6,84.78,0.0
GYPSUM_NG,53294,GAS,9.6,2.88,0.0
CRAIG_C,53294,COAL,1427.6,428.28,0.0
RIFLE_NG,53294,GAS,84.0,25.2,0.0
ALGODONES_NG,53294,GAS,45.0,13.5,0.0
PREWITT_C,53294,COAL,257.0,77.1,0.0
FRUITLAND_C,53294,COAL,2269.6,680.88,0.0
BELEN_NG,53294,GAS,740.7,222.21,0.0
WATERFLOW_NG,53294,GAS,292.6,87.78,0.0
ALBUQUERQUE_NG,53294,GAS,310.6,93.18,0.0
GRANDJUNCTION_NG,60003,GAS,26.6,7.98,0.0
BRUSH_NG_35,70170,GAS,297.2,89.16,0.0
PLATTEVILLE_NG,70170,GAS,1148.5,344.55,0.0
COMMERCECITY_NG,70170,GAS,154.2,46.26,0.0
